id,name,interaction,smile,target,enzyme,carrier,transporter
DB00053,,,,,,,
DB00054,,DB14093|DB08496|DB14055|DB01481|DB01543,,||||,,,
DB00055,,DB14093|DB08496|DB14055|DB01481|DB01543,,|||||||||,,,
DB00056,,DB08496|DB14055|DB02806|DB03410|DB13068,,|||,,,
DB00057,,DB16077|DB00054|DB12775|DB15076|DB16376,,,,,
DB00058,,DB13884|DB00009|DB06679|DB00513|DB13244,,,,,
DB00059,,DB02806|DB13068|DB01281|DB06662|DB12258,,,,,
DB00060,,DB08496|DB07954|DB11919|DB02245|DB01978,,|,,,
DB00061,,DB12258|DB09329|DB12814|DB08904|DB14700,,|,,,
DB00062,,,,,,,
DB00063,,DB08496|DB14055|DB03410|DB08550|DB00054,,||,,,
DB00065,,DB08496|DB14055|DB02806|DB01472|DB14010,,,,,
DB00066,,DB01467|DB13940|DB02058|DB01484|DB11703,,,,,
DB00067,,DB04334|DB13394|DB13233|DB04836|DB00321,,|||,,,
DB00068,,DB08496|DB14055|DB02806|DB07954|DB03410,,|,,,
DB00069,,DB08496|DB14055|DB02806|DB07954|DB03410,,|,,,
DB00070,,DB12537|DB01537|DB01472|DB15192|DB01615,,|,,,
DB00071,,DB08496|DB11898|DB12629|DB03374|DB07996,,|,|,,
DB00072,,DB02806|DB13068|DB16077|DB01281|DB00054,,,,,
DB00073,,DB08496|DB14055|DB02806|DB03410|DB13068,,,,,
DB00074,,DB02806|DB13068|DB16077|DB01281|DB00054,,|,,,
DB00075,,DB02806|DB13068|DB16077|DB01281|DB00054,,||||,,,
DB00076,,DB16077|DB00054|DB12775|DB15076|DB16376,,,,,
DB00078,,DB08496|DB14055|DB02806|DB03410|DB13068,,,,,
DB00080,,DB08496|DB14055|DB03410|DB01048|DB12001,"(3S)-3-{[(3S,6S,9R,15S,18R,21S,24S,30S,31R)-3-[2-(2-aminophenyl)-2-oxoethyl]-24-(3-aminopropyl)-15,21-bis(carboxymethyl)-6-[(2R)-1-carboxypropan-2-yl]-9-(hydroxymethyl)-18,31-dimethyl-2,5,8,11,14,17,20,23,26,29-decaoxo-1-oxa-4,7,10,13,16,19,22,25,28-nonaazacyclohentriacontan-30-yl]carbamoyl}-3-[(2R)-3-carbamoyl-2-[(2S)-2-decanamido-3-(1H-indol-3-yl)propanamido]propanamido]propanoic acid",,,|||||,
DB00081,,DB08496|DB14055|DB02806|DB03410|DB13068,,|,,,
DB00082,,DB08496|DB14055|DB11898|DB12258|DB00284,,,||||,,
DB00083,,DB12537|DB13940|DB01484|DB01472|DB14010,,|,,,
DB00085,,DB09501|DB13949|DB13423|DB15598|DB11576,,,,,
DB00086,,DB14093|DB08496|DB14055|DB01481|DB01543,,|,,,
DB00087,,DB08496|DB14055|DB02806|DB03410|DB13068,,||||||,,,
DB00088,,,,,,,
DB00089,,DB16077|DB00054|DB12775|DB15076|DB16376,,,,,
DB00090,,,,,,,
DB00091,,DB08496|DB14055|DB04581|DB12537|DB02806,"(3S,6S,9S,12R,15S,18S,21S,24S,30S,33S)-30-ethyl-33-[(1R,2R,4E)-1-hydroxy-2-methylhex-4-en-1-yl]-1,4,7,10,12,15,19,25,28-nonamethyl-6,9,18,24-tetrakis(2-methylpropyl)-3,21-bis(propan-2-yl)-1,4,7,10,13,16,19,22,25,28,31-undecaazacyclotritriacontan-2,5,8,11,14,17,20,23,26,29,32-undecone",||||,|||,,|||||||||
DB00092,,DB02806|DB13068|DB01281|DB06662|DB12996,,||,,,
DB00093,,DB01161|DB00451|DB00281|DB00279|DB01583,,,,,
DB00094,,,,,,,
DB00095,,DB02806|DB13068|DB16077|DB01281|DB00054,,|,,,
DB00097,,,,|,,,
DB00098,,DB02806|DB13068|DB16077|DB01281|DB00054,,||||||||,,,
DB00099,,DB00290|DB00531|DB01030|DB00570|DB13374,,,,,
DB00100,,DB08496|DB14055|DB03410|DB00054|DB01418,,||||||,,,
DB00102,,,,||,,,
DB00103,,DB15874|DB01118|DB00608|DB00798,,,,,
DB00104,,DB08496|DB14055|DB11898|DB12515|DB12001,,,|,,|
DB00105,,DB08496|DB14055|DB02806|DB07954|DB03410,,||,,,
DB00106,,,(2R)-N-[(1S)-1-{[(2S)-1-[(2S)-2-{[(1R)-1-carbamoylethyl]carbamoyl}pyrrolidin-1-yl]-1-oxo-6-[(propan-2-yl)amino]hexan-2-yl]carbamoyl}-3-methylbutyl]-2-[(2S)-2-[(2S)-2-[(2R)-2-[(2R)-3-(4-chlorophenyl)-2-[(2R)-2-acetamido-3-(naphthalen-2-yl)propanamido]propanamido]-3-(pyridin-3-yl)propanamido]-3-hydroxy-N-methylpropanamido]-3-(4-hydroxyphenyl)propanamido]butanediamide,,,,
DB00107,,DB12565|DB01615|DB13691|DB09488|DB00640,,|||,|,,
DB00108,,DB02806|DB13068|DB16077|DB01281|DB00054,,|||,,,
DB00109,,DB14685|DB11003|DB10804|DB16648|DB10343,,,|,,
DB00110,,DB16077|DB00054|DB12775|DB15076|DB16376,,||||||||,,,
DB00111,,DB02806|DB13068|DB16077|DB01281|DB00054,,|||||||||||,,,
DB00112,,DB16077|DB00054|DB12775|DB15076|DB00511,,||||||||,,,
DB00113,,DB16077|DB00054|DB12775|DB15076|DB16376,,,,,
DB00114,,,[(4-formyl-5-hydroxy-6-methylpyridin-3-yl)methoxy]phosphonic acid,||||||||||||||||||||||||||||||||||||||||||||||||||||||,,,
DB00115,,DB01048|DB06736|DB13783|DB00819|DB00945,"cyano[(1R,2R,3R,4R,6Z,8S,11Z,13S,14S,16Z,18S,19S)-8,13,18-tris(2-carbamoylethyl)-3,14,19-tris(carbamoylmethyl)-4-(2-{[(2R)-2-{[(2R,3S,4R,5S)-5-(5,6-dimethyl-1H-1,3-benzodiazol-1-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl phosphonato]oxy}propyl]carbamoyl}ethyl)-1,4,6,9,9,14,16,19-octamethyl-20,21,22,23-tetraazapentacyclo[15.2.1.1^{2,5}.1^{7,10}.1^{12,15}]tricosa-5(23),6,10(22),11,15(21),16-hexaen-20-yl]cobaltylium",|||||,|,,||||||
DB00116,,DB01629|DB08878|DB13795|DB01101|DB00564,"(2S)-2-[(4-{[(2-amino-4-oxo-1,4,5,6,7,8-hexahydropteridin-6-yl)methyl]amino}phenyl)formamido]pentanedioic acid",|||||||||||,,,
DB00117,,,(2S)-2-amino-3-(1H-imidazol-5-yl)propanoic acid,|||,,,
DB00118,,DB00316|DB01223|DB06728|DB01086|DB06770,"(2S)-2-amino-4-({[(2S,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl}(methyl)sulfaniumyl)butanoate",|||||||,|,,
DB00119,,,2-oxopropanoic acid,||||||||||||||,,,||||
DB00120,,DB08496|DB14055|DB02806|DB03410|DB13068,(2S)-2-amino-3-phenylpropanoic acid,||||||,,,
DB00121,,,"5-[(3aS,4S,6aR)-2-oxo-hexahydro-1H-thieno[3,4-d]imidazol-4-yl]pentanoic acid",|||||||,,,|
DB00122,,DB03128|DB00787|DB08838|DB00915|DB00594,(2-hydroxyethyl)trimethylazanium,||||||||,||||,,|||||||||
DB00123,,,"(2S)-2,6-diaminohexanoic acid",||||,,,|
DB00125,,,(2S)-2-amino-5-carbamimidamidopentanoic acid,||||||||,,,||
DB00126,,DB01467|DB13940|DB01484|DB06723|DB00182,"(5R)-5-[(1S)-1,2-dihydroxyethyl]-3,4-dihydroxy-2,5-dihydrofuran-2-one",|||||||||||||||||||||||||,,,||||
DB00127,,DB00787|DB00915|DB01114|DB00122|DB14006,(3-aminopropyl)({4-[(3-aminopropyl)amino]butyl})amine,||||||||||||,||,,|
DB00128,,,(2S)-2-aminobutanedioic acid,||||||||||||||||||||,,,
DB00129,,,"(2S)-2,5-diaminopentanoic acid",|||||||||,,,
DB00130,,DB00581,(2S)-2-amino-4-carbamoylbutanoic acid,||,||||||||||||||||||,,||||||||||
DB00131,,,"{[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy}phosphonic acid",|||||||||||||,|,,
DB00132,,DB09053,"(9Z,12Z,15Z)-octadeca-9,12,15-trienoic acid",||||||||||||,,,
DB00133,,,(2S)-2-amino-3-hydroxypropanoic acid,||||||,,,
DB00134,,DB01235,(2S)-2-amino-4-(methylsulfanyl)butanoic acid,||||,||||||||||,,
DB00135,,DB01235,(2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid,|||,,,|
DB00136,,DB08496|DB14055|DB13097|DB06117|DB12515,"(1R,3S,5Z)-5-{2-[(1R,3aS,4E,7aR)-1-[(2R)-6-hydroxy-6-methylheptan-2-yl]-7a-methyl-octahydro-1H-inden-4-ylidene]ethylidene}-4-methylidenecyclohexane-1,3-diol",|,|,,
DB00137,,,"(1R,4R)-4-[(1E,3E,5E,7E,9E,11E,13E,15E,17E)-18-[(4R)-4-hydroxy-2,6,6-trimethylcyclohex-1-en-1-yl]-3,7,12,16-tetramethyloctadeca-1,3,5,7,9,11,13,15,17-nonaen-1-yl]-3,5,5-trimethylcyclohex-2-en-1-ol",,,,
DB00138,,,(2R)-2-amino-3-{[(2R)-2-amino-2-carboxyethyl]disulfanyl}propanoic acid,|,,,||
DB00139,,DB00945|DB00787|DB00345|DB11901|DB00168,butanedioic acid,|,|||||||||,,||||
DB00140,,DB00659|DB00787|DB00718|DB00345|DB01197,"7,8-dimethyl-10-[(2S,3S,4R)-2,3,4,5-tetrahydroxypentyl]-2H,3H,4H,10H-benzo[g]pteridine-2,4-dione",||,|,,
DB00141,,,"N-[(2R,3R,4S,5R)-3,4,5,6-tetrahydroxy-1-oxohexan-2-yl]acetamide",|||||,,,
DB00142,,DB01467|DB13940|DB01484|DB00182|DB00865,(2S)-2-aminopentanedioic acid,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,,,|||
DB00143,,,(2S)-2-amino-4-{[(1R)-1-[(carboxymethyl)carbamoyl]-2-sulfanylethyl]carbamoyl}butanoic acid,||||||||||||||||||||||||||||||||||||||||,|,,||||
DB00144,,,"(2S)-2-amino-3-({[(2R)-2,3-bis(octadecanoyloxy)propoxy](hydroxy)phosphoryl}oxy)propanoic acid",|||||||||,,,
DB00145,,DB00511|DB13691|DB01078|DB01396|DB00390,2-aminoacetic acid,||||||||||||||||||||||||,|||,,||||
DB00146,,DB13097|DB06117|DB00511|DB13691|DB04630,"(1S,3Z)-3-{2-[(1R,3aS,4E,7aR)-1-[(2R)-6-hydroxy-6-methylheptan-2-yl]-7a-methyl-octahydro-1H-inden-4-ylidene]ethylidene}-4-methylidenecyclohexan-1-ol",,|,,
DB00147,,,3-hydroxy-5-(hydroxymethyl)-2-methylpyridine-4-carbaldehyde,,,,
DB00148,,,2-(N-methylcarbamimidamido)acetic acid,|||||,,,
DB00149,,,(2S)-2-amino-4-methylpentanoic acid,|||||,,,|
DB00150,,DB08496|DB14055|DB12537|DB01467|DB13940,(2S)-2-amino-3-(1H-indol-3-yl)propanoic acid,|||,|||||||,,|
DB00151,,,(2R)-2-amino-3-sulfanylpropanoic acid,||||||||||||,,,
DB00152,,DB00787|DB08838|DB00915|DB01114|DB14006,"3-[(4-amino-2-methylpyrimidin-5-yl)methyl]-5-(2-hydroxyethyl)-4-methyl-1,3-thiazol-3-ium",|,|||,,||||
DB00153,,DB13097|DB06117|DB00511|DB13691|DB04630,"(1S,3Z)-3-{2-[(1R,3aS,4E,7aR)-1-[(2R,3E,5R)-5,6-dimethylhept-3-en-2-yl]-7a-methyl-octahydro-1H-inden-4-ylidene]ethylidene}-4-methylidenecyclohexan-1-ol",|,|||||,,
DB00154,,,"(8Z,11Z,14Z)-icosa-8,11,14-trienoic acid",|,,,
DB00155,,DB00819|DB00945|DB00787|DB00718|DB00345,(2S)-2-amino-5-(carbamoylamino)pentanoic acid,|||||||||||,,,
DB00156,,,"(2S,3R)-2-amino-3-hydroxybutanoic acid",||,,,
DB00157,,,"[({[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy}(hydroxy)phosphoryl)oxy]({[(2R,3S,4R,5R)-5-(3-carbamoyl-1,4-dihydropyridin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy})phosphinic acid",|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,||||||||,,
DB00158,,DB01629|DB01048|DB12001|DB00659|DB06736,"(2S)-2-[(4-{[(2-amino-4-oxo-1,4-dihydropteridin-6-yl)methyl]amino}phenyl)formamido]pentanedioic acid",||||,||,,||||||
DB00159,,DB08496|DB14055|DB04581|DB01467|DB13940,"(5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoic acid",|||||||||||,,,
DB00160,,,(2S)-2-aminopropanoic acid,||||||||||||,,,
DB00161,,,(2S)-2-amino-3-methylbutanoic acid,||,||,,
DB00162,,DB02699|DB00459|DB00523|DB00307|DB13528,"(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohex-1-en-1-yl)nona-2,4,6,8-tetraen-1-ol",|||||||||||||||,,|||||||,
DB00163,,DB08496|DB14055|DB03410|DB12515|DB11932,"(2R)-2,5,7,8-tetramethyl-2-[(4R,8R)-4,8,12-trimethyltridecyl]-3,4-dihydro-2H-1-benzopyran-6-ol",|||||||||,||||||||,|||,|||
DB00165,,DB01048|DB06736|DB13783|DB00819|DB00945,"4,5-bis(hydroxymethyl)-2-methylpyridin-3-ol",|,|||,,
DB00166,,DB11898|DB00284|DB00414|DB01700|DB13233,"5-[(3R)-1,2-dithiolan-3-yl]pentanoic acid",||,,,
DB00167,,,"(2S,3S)-2-amino-3-methylpentanoic acid",||||,,,
DB00168,,DB00659|DB00787|DB00718|DB00437|DB00345,(3S)-3-amino-3-{[(2S)-1-methoxy-1-oxo-3-phenylpropan-2-yl]carbamoyl}propanoic acid,||,,,||
DB00169,,DB13097|DB06117|DB01472|DB14010|DB11932,"(1S,3Z)-3-{2-[(1R,3aS,4E,7aR)-7a-methyl-1-[(2R)-6-methylheptan-2-yl]-octahydro-1H-inden-4-ylidene]ethylidene}-4-methylidenecyclohexan-1-ol",,||||||,,
DB00170,,DB13884|DB00058|DB00009|DB06679|DB00513,"2-methyl-1,4-dihydronaphthalene-1,4-dione",||||||||||,|||||||||||||||,,
DB00171,,,"({[({[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy}(hydroxy)phosphoryl)oxy](hydroxy)phosphoryl}oxy)phosphonic acid",|||||||||||||||||||||||||||||||||||||||||,,,
DB00172,,,(2S)-pyrrolidine-2-carboxylic acid,|||||||||||||||||||||,,,
DB00173,,DB01048|DB00316|DB03496|DB15059|DB01076,7H-purin-6-amine,|||||||||||,,,
DB00174,,,(2S)-2-amino-3-carbamoylpropanoic acid,|||||,,,
DB00175,,DB08496|DB14055|DB03410|DB12001|DB14973,"(3R,5R)-7-[(1S,2S,6S,8S,8aR)-6-hydroxy-2-methyl-8-{[(2S)-2-methylbutanoyl]oxy}-1,2,6,7,8,8a-hexahydronaphthalen-1-yl]-3,5-dihydroxyheptanoic acid",|,,,||||||||||||
DB00176,,DB08496|DB14055|DB01562|DB12537|DB11898,(E)-(2-aminoethoxy)({5-methoxy-1-[4-(trifluoromethyl)phenyl]pentylidene})amine,|,|||||||,,|
DB00177,,DB08496|DB14055|DB04581|DB01467|DB13940,"(2S)-3-methyl-2-(N-{[2'-(2H-1,2,3,4-tetrazol-5-yl)-[1,1'-biphenyl]-4-yl]methyl}pentanamido)butanoic acid",,,,||
DB00178,,DB04581|DB01467|DB13940|DB01484|DB01472,"(2S,3aS,6aS)-1-[(2S)-2-{[(2S)-1-ethoxy-1-oxo-4-phenylbutan-2-yl]amino}propanoyl]-octahydrocyclopenta[b]pyrrole-2-carboxylic acid",|,,,|
DB00179,,DB06742|DB09009|DB01086|DB06770|DB00297,"4-[(2S,3R)-4-(3,4-dihydroxyphenyl)-2,3-dimethylbutyl]benzene-1,2-diol",|||,,,
DB00180,,DB08496|DB14055|DB01481|DB02365|DB05107,"(1S,2S,4R,8S,9S,11S,12S,13R,19S)-19-fluoro-11-hydroxy-8-(2-hydroxyacetyl)-6,6,9,13-tetramethyl-5,7-dioxapentacyclo[10.8.0.0^{2,9}.0^{4,8}.0^{13,18}]icosa-14,17-dien-16-one",,,,
DB00181,,DB12537|DB11898|DB13940|DB01484|DB01472,4-amino-3-(4-chlorophenyl)butanoic acid,||,,,
DB00182,,DB01562|DB04581|DB01467|DB13940|DB07954,1-phenylpropan-2-amine,||||||||||,|,,|
DB00183,,DB05381,(3S)-3-[(2S)-2-[(2S)-2-(3-{[(tert-butoxy)carbonyl]amino}propanamido)-3-(1H-indol-3-yl)propanamido]-4-(methylsulfanyl)butanamido]-3-{[(1S)-1-carbamoyl-2-phenylethyl]carbamoyl}propanoic acid,,,,
DB00184,,DB02365|DB01467|DB13940|DB01484|DB01472,3-[(2S)-1-methylpyrrolidin-2-yl]pyridine,||||||||||||,||||||||||||,,||||
DB00185,,DB01562|DB02365|DB01472|DB14010|DB01048,"(2R)-5'-methyl-4-azaspiro[bicyclo[2.2.2]octane-2,2'-[1,4]oxathiolane]",|,||,,
DB00186,,DB12537|DB13940|DB07954|DB01484|DB01472,"7-chloro-5-(2-chlorophenyl)-3-hydroxy-2,3-dihydro-1H-1,4-benzodiazepin-2-one",||,,,
DB00187,,DB01562|DB04581|DB02365|DB01467|DB13940,methyl 3-(4-{2-hydroxy-3-[(propan-2-yl)amino]propoxy}phenyl)propanoate,,,,
DB00188,,DB08496|DB14055|DB01562|DB02806|DB03410,[(1R)-3-methyl-1-[(2S)-3-phenyl-2-[(pyrazin-2-yl)formamido]propanamido]butyl]boronic acid,||,||||,,|
DB00189,,DB12537|DB13940|DB01484|DB01472|DB14010,(1E)-1-chloro-3-ethylpent-1-en-4-yn-3-ol,||,,,
DB00190,,DB01048|DB01193|DB06736|DB13783|DB00316,"(2S)-3-(3,4-dihydroxyphenyl)-2-hydrazinyl-2-methylpropanoic acid",,,,
DB00191,,DB04581|DB11898|DB01467|DB13940|DB07954,2-methyl-1-phenylpropan-2-amine,|||||,,,
DB00192,,,9-{3-[(propan-2-yl)amino]propyl}-9H-fluorene-9-carboxamide,,,,
DB00193,,DB08496|DB14055|DB01562|DB02365|DB12537,2-[(dimethylamino)methyl]-1-(3-methoxyphenyl)cyclohexan-1-ol,||||||||||||||,|||,,
DB00194,,DB00437,"(2R,3S,4S,5R)-2-(6-amino-9H-purin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol",|||,,,
DB00195,,,1-{4-[2-(cyclopropylmethoxy)ethyl]phenoxy}-3-[(propan-2-yl)amino]propan-2-ol,|,|,,
DB00196,,,"2-(2,4-difluorophenyl)-1,3-bis(1H-1,2,4-triazol-1-yl)propan-2-ol",,|||,,
DB00197,,,"5-({4-[(6-hydroxy-2,5,7,8-tetramethyl-3,4-dihydro-2H-1-benzopyran-2-yl)methoxy]phenyl}methyl)-1,3-thiazolidine-2,4-dione",||||||||,||||||||||||||||||,,|
DB00198,,,"ethyl (3R,4R,5S)-5-amino-4-acetamido-3-(pentan-3-yloxy)cyclohex-1-ene-1-carboxylate",||,,,||
DB00199,,,"(3R,4S,5S,6R,7R,9R,11R,12R,13S,14R)-6-{[(2S,3R,4S,6R)-4-(dimethylamino)-3-hydroxy-6-methyloxan-2-yl]oxy}-14-ethyl-7,12,13-trihydroxy-4-{[(2R,4R,5S,6S)-5-hydroxy-4-methoxy-4,6-dimethyloxan-2-yl]oxy}-3,5,7,9,11,13-hexamethyl-1-oxacyclotetradecane-2,10-dione",||,||,,|||||
DB00200,,,"(10S,12R,13S,17R,23R,24R,25R,30S,35S,36S,40S,41S,42R,46R)-30,35,40-tris(2-carbamoylethyl)-24,36,41-tris(carbamoylmethyl)-1,46-dihydroxy-12-(hydroxymethyl)-5,6,17,23,28,31,31,36,38,41,42-undecamethyl-15,20-dioxo-11,14,16-trioxa-2lambda5,9,19,26,43lambda5,44lambda5,45lambda5-heptaaza-15lambda5-phospha-1-cobaltadodecacyclo[27.14.1.1^{1,34}.1^{2,9}.1^{10,13}.0^{1,26}.0^{3,8}.0^{23,27}.0^{25,42}.0^{32,44}.0^{39,43}.0^{37,45}]heptatetraconta-2(47),3,5,7,27,29(44),32,34(45),37,39(43)-decaene-2,43,44,45-tetrakis(ylium)-1,1,1-triuid-15-olate",||||||,,,
DB00201,,,"1,3,7-trimethyl-2,3,6,7-tetrahydro-1H-purine-2,6-dione",||||||||||||||,|||||||,,
DB00202,,,trimethyl[2-({4-oxo-4-[2-(trimethylazaniumyl)ethoxy]butanoyl}oxy)ethyl]azanium,||,,,
DB00203,,,"5-{2-ethoxy-5-[(4-methylpiperazin-1-yl)sulfonyl]phenyl}-1-methyl-3-propyl-1H,4H,7H-pyrazolo[4,3-d]pyrimidin-7-one",|||||,||||||,,||||
DB00204,,,N-[4-(2-{[2-(4-methanesulfonamidophenoxy)ethyl](methyl)amino}ethyl)phenyl]methanesulfonamide,||,,,
DB00205,,,"5-(4-chlorophenyl)-6-ethylpyrimidine-2,4-diamine",|||,,,|
